tenid,region,longitude,latitude
E  0803001 ,Gascoyne,115.9745218926963,-23.48441239182912
E  0803010 ,Pilbara,115.90000022461008,-21.59166318085841
M  4000333 ,Goldfields-Esperance,121.42069451278422,-29.246916204103076
E  0803041 ,Pilbara,115.75428870834232,-22.70005088117717
E  0803050 ,Pilbara,116.05000016953039,-21.375000351364957
E  0803056 ,Pilbara,115.81894004331252,-22.743181790065393
E  0803058 ,Pilbara,115.22500019768589,-22.17499928015942
E  0803064 ,Pilbara,116.39449622077801,-22.786108311411002
E  0803065 ,Pilbara,116.14014880336394,-22.658335753228535
E  0803067 ,Pilbara,116.12314326774091,-22.876848886956093
E  0803068 ,Pilbara,115.3380921814095,-22.472020182476967
E  0803071 ,Pilbara,115.23055622926155,-21.580555438310192
P  4502995 ,Pilbara,118.9224632943397,-21.07517832434816
E  0803078 ,Pilbara,115.94819958787649,-22.08949661448724
E  0803082 ,Pilbara,115.65499967847967,-22.319996969794104
E  0803086 ,Pilbara,116.12793604678747,-22.331864742123788
E  0803088 ,Pilbara,114.98335565045015,-22.457366195472385
E  0803104 ,Pilbara,117.35000017851148,-23.716665473120337
E  0803115 ,Pilbara,115.7135969772229,-23.491665526323683
E  0803117 ,Gascoyne,114.14351798287466,-23.128701642976363
E  0803118 ,Pilbara,116.28500215038787,-21.00333121817649
E  0803120 ,Pilbara,116.74537441847814,-23.41574283329727
E  0803121 ,Pilbara,116.99124246850529,-23.52921983741154
E  0803123 ,Pilbara,116.23672851036461,-21.833339873129482
E  0803210 ,Pilbara,116.33499892550346,-22.743333518557225
E  0803126 ,Pilbara,116.20802021747124,-21.510542703329104
E  0803131 ,Pilbara,115.88304419417517,-22.379594472071823
E  0803132 ,Pilbara,116.031309886666,-22.118071760960454
E  0803134 ,Pilbara,116.2750081294469,-21.92512061266402
E  0803136 ,Pilbara,115.63981668332323,-22.945369740255618
E  0803137 ,Pilbara,115.67833263758509,-22.926664283648353
E  0803162 ,Pilbara,116.0833332406605,-22.199998749289524
E  0803175 ,Pilbara,115.48210483967272,-22.077356658160642
E  0803163 ,Pilbara,116.54135162632942,-22.855273203269178
E  0803164 ,Pilbara,116.03836750605021,-22.43618543073057
E  0803165 ,Pilbara,117.13158625986914,-23.67886993119345
E  0803166 ,Pilbara,115.5187291693781,-21.640298941215658
E  0803167 ,Pilbara,116.3916668902979,-23.07083293023266
E  0803168 ,Pilbara,116.24537728097268,-22.447892219722224
E  0803178 ,Gascoyne,115.45733414464912,-23.54508759881672
E  0803180 ,Pilbara,115.83477719934157,-21.837060104281694
E  0803183 ,Pilbara,116.25416388262606,-22.645833425250476
E  0803184 ,Pilbara,116.1649995059845,-22.611665802275272
E  0803188 ,Pilbara,116.2142804530405,-22.510716446923556
E  0803197 ,Pilbara,115.65071869989274,-21.53968749270566
E  0803200 ,Pilbara,115.26666702094508,-22.449999435825006
E  0803201 ,Pilbara,115.40833470272557,-22.499997912889114
E  0803202 ,Pilbara,115.26547598360975,-22.33690285462849
E  0803204 ,Pilbara,115.18578305960533,-22.495584102394716
E  0803205 ,Pilbara,115.97500019835672,-21.541666735272756
E  0803214 ,Pilbara,116.12045241066266,-22.81744698720264
E  0803218 ,Pilbara,116.46666691541883,-23.00000065796941
E  0803219 ,Pilbara,116.50833313560949,-22.833738435657242
E  0803220 ,Pilbara,115.1728228338264,-22.70036140309787
E  0803222 ,Pilbara,117.28781944820082,-23.690383529008407
E  0803225 ,Pilbara,116.29166679343348,-21.74166707208301
